"Price","Size_sqft","Lot_SqFt","Year","Town","Age","Price_thousands","Lot2","Size_sqft_1k"
155000,2916,16553,1925,"Canton",87,155,16.553,2.916
123000,1852,47443,1962,"Canton",50,123,47.443,1.852
155000,2539,9583,1980,"Canton",32,155,9.583,2.539
135000,1371,15000,1960,"Canton",52,135,15,1.371
270000,3024,15000,1971,"Canton",41,270,15,3.024
182000,2153,34400,1927,"Canton",85,182,34.4,2.153
208000,1680,18450,1979,"Canton",33,208,18.45,1.68
84694,1746,13098,1860,"Canton",152,84.694,13.098,1.746
79900,1216,21780,1955,"Canton",57,79.9,21.78,1.216
82000,960,8276,1940,"Canton",72,82,8.276,0.96
240000,2080,14616,1915,"Canton",97,240,14.616,2.08
68000,1206,7688,1900,"Canton",112,68,7.688,1.206
95000,1564,7880,1900,"Canton",112,95,7.88,1.564
100000,2080,71438,1977,"Canton",35,100,71.438,2.08
153000,1812,17424,1977,"Canton",35,153,17.424,1.812
110000,2072,8052,1920,"Canton",92,110,8.052,2.072
132500,1092,14400,1970,"Canton",42,132.5,14.4,1.092
137000,2142,10656,1920,"Canton",92,137,10.656,2.142
162000,1008,15000,1965,"Canton",47,162,15,1.008
171000,2068,22700,1989,"Potsdam",23,171,22.7,2.068
112000,1614,19305,1951,"Potsdam",61,112,19.305,1.614
115000,1866,9184,1900,"Potsdam",112,115,9.184,1.866
107000,1747,10890,1872,"Potsdam",140,107,10.89,1.747
109000,1740,21285,1875,"Potsdam",137,109,21.285,1.74
77500,1146,4264,1920,"Potsdam",92,77.5,4.264,1.146
80500,1838,30825,1952,"Potsdam",60,80.5,30.825,1.838
325000,3500,87120,2002,"Potsdam",10,325,87.12,3.5
185000,2490,9296,1880,"Potsdam",132,185,9.296,2.49
78600,1444,29621,1951,"Potsdam",61,78.6,29.621,1.444
120000,1609,8250,1900,"Potsdam",112,120,8.25,1.609
106000,1403,4316,1900,"Potsdam",112,106,4.316,1.403
75000,1918,9075,1856,"Potsdam",156,75,9.075,1.918
166000,1724,4500,1930,"Potsdam",82,166,4.5,1.724
105000,2860,19470,1900,"Potsdam",112,105,19.47,2.86
285000,2720,65340,2005,"Potsdam",7,285,65.34,2.72
89900,1872,4650,1900,"Potsdam",112,89.9,4.65,1.872
168500,3452,19024,1875,"Potsdam",137,168.5,19.024,3.452
187000,1928,17808,1967,"Potsdam",45,187,17.808,1.928
111500,1808,21120,1910,"Potsdam",102,111.5,21.12,1.808
126000,2156,8712,1878,"Potsdam",134,126,8.712,2.156
156600,2093,12530,1970,"Potsdam",42,156.6,12.53,2.093
205000,2538,91473,2004,"Potsdam",8,205,91.473,2.538
125000,2073,28421,1820,"Potsdam",192,125,28.421,2.073
129000,1260,20000,1955,"Potsdam",57,129,20,1.26
75000,1152,13500,1972,"Potsdam",40,75,13.5,1.152
104000,2060,9141,1900,"Potsdam",112,104,9.141,2.06
115000,1842,30450,1958,"Potsdam",54,115,30.45,1.842
265000,2300,82764,2004,"Potsdam",8,265,82.764,2.3
