"Major","nfemales","nmales"
"Anthropology",34,15
"Art & Art History",65,11
"Biochemistry",14,11
"Biology",162,67
"Business in the Liberal Arts",135,251
"Chemistry",26,14
"Computer Science",21,47
"Conservation Biology",38,20
"Economics",128,349
"English",131,54
"Environmental Studies",42,24
"French",27,7
"Geology",28,41
"Global Studies",69,27
"Government",127,116
"History",62,82
"Mathematics",74,83
"Music",13,21
"Neuroscience",61,24
"Performance & Comm Arts",144,57
"Philosophy",24,29
"Physics",6,14
"Psychology",278,61
"Religious Studies",10,4
"Sociology",74,43
"Spanish",35,10
"Statistics",28,9
